,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,alignment
2798,28,-3.012036812867328,False,0.909114737062822,0.24969630596661377,1.494897309717804,6.586638360009021
2799,122,2.930668205039718,True,0.9591586657215782,0.24323817053257707,0.2868369052223646,9.880685214811193
2800,204,2.8453813841967417,True,0.9048333336249889,0.17391252067294086,1.139645500945755,8.825754297448533
2801,46,2.9885949140809283,True,0.9656265885382467,0.21392238768709482,0.22841628765102656,8.904224584652367
2802,142,2.908781328424105,True,0.9650544012524823,0.1797096233955071,0.5528191880053335,7.04613522004037
2803,1,-3.0012352302243097,False,0.30000000000000004,0.30000000000000004,1.161527930643432,3.5170032117084817
2804,52,-3.064079401378026,False,0.9472954825059307,0.17070847780712614,0.2595651407814089,7.25908379985318
2805,75,2.973926423891892,True,0.9719007380097511,0.18213323909904336,0.2400097819359319,1.9347761761330617
2806,115,-3.0630944815319,False,0.9507713562186411,0.18675620010722313,0.9084636342310743,7.061957504793446
2807,75,-3.04626362993097,False,0.9003971952899754,0.23524463106459526,0.4047923480050106,6.3051003689352445
2808,1,-3.0004675871233113,False,0.3,0.3,5.315175550624868,8.03165394364128
2809,167,2.8651020841176416,True,0.9839361073174802,0.11251412757327753,0.5324533776254344,0.4277953426419545
2810,78,2.987158728370556,True,0.9538257808239659,0.19028385267668965,0.5641572350361317,4.761056926675847
2811,160,2.921986002853718,True,0.9698764407999116,0.15005925507391213,0.908016557919661,2.8070668606807803
2812,94,2.953078562018974,True,0.9714397307255275,0.1269658751756914,0.1790416242809933,3.8589036355280038
2813,87,-3.0403422888328175,False,0.9617898044094954,0.14035013925176604,0.19110431238350484,7.655995750849346
2814,168,2.8611807796440885,True,0.9792037017791354,0.18793525219728022,0.21894444064034457,1.0405031623567051
2815,121,2.955769318082548,True,0.9654959644706408,0.16597673944973534,0.22052582174819957,1.7441150627179491
2816,173,2.853171839893809,True,0.9865419746148295,0.1307509775883656,0.15729598936974684,9.939311049414444
2817,62,2.9795745255568074,True,0.9727361089606028,0.07160424836155241,0.26887701066421427,2.8120614129478128
2818,156,2.939077120040454,True,0.971468916617666,0.17279739749301587,0.8916561108982836,6.938419533008096
2819,194,-3.1721026984869485,False,0.9677870210406693,0.16026548319593842,0.18360213832116523,5.538876108642756
2820,40,2.9914472222513147,True,0.9507749988335572,0.20789604132932596,0.23217877998218625,0.18897291870533572
2821,134,2.957341651242717,True,0.9624810651895849,0.18748835572045877,0.3271168743405652,3.544981603415632
2822,64,2.9788580272485907,True,0.9638049181878313,0.14697751624918368,0.893139336320984,9.597316000881008
2823,241,2.830622465861936,True,0.9692126630784612,0.1617290629232061,0.28833776408127026,3.78770914415551
2824,76,2.9707557967075306,True,0.9747382233141777,0.15700151335293985,0.21469382313032756,1.4921267957554896
2825,30,2.9954731499145115,True,0.9308653041668348,0.2185895776914417,0.21007709400354957,6.299364857736071
2826,15,2.998708377914379,True,0.9088400806199154,0.16352542859586539,0.5710078632460726,9.602651787693407
2827,74,-3.020171168112243,False,0.8758317840510514,0.23038166795970882,0.3490829496813906,8.423868565338246
2828,211,2.7813095920113953,True,0.9892245177627161,0.08319650642187784,0.10619974069603318,9.983190577590085
2829,170,2.849942166462797,True,0.9915782010204723,0.09772603264484736,0.30756749099734354,6.35603688863236
2830,1,-3.0008027011844356,False,0.3,0.3,1.4667162359213437,9.614108108168185
2831,60,2.9799609471489044,True,0.9792963087716772,0.07723721978208099,0.09329488294943719,6.218020020555336
2832,65,2.9772322785376653,True,0.9802237664298268,0.09890571366602366,0.188113339986916,9.869389285759633
2833,173,2.8418122018492515,True,0.9881181075922739,0.06145487499595592,0.2394450284286465,8.952945802860711
2834,68,-3.0647045472343915,False,0.9103713555303038,0.20096301875690079,0.23500716957764012,2.9801791046558668
2835,109,2.9361566962902237,True,0.982401620892277,0.10457922867216259,0.26286980961020795,5.380655059244176
2836,128,2.945625797942153,True,0.9545121984751139,0.21105430492943847,0.8368057102106797,1.9554389183519194
2837,196,2.839193422943302,True,0.9685640974261319,0.12490879193648519,0.16344054685266216,7.947433637771766
2838,101,2.954525322778197,True,0.9779835743890782,0.1614330648725936,0.2072706067810153,4.978055711183954
2839,72,2.9813489576320276,True,0.9446172305227911,0.2376471994256838,0.28095170310181267,1.0458027798600211
2840,139,-3.104832494302094,False,0.9755729522714146,0.174762972797683,0.20724804201814992,3.015837487543982
2841,111,-3.0934018026044394,False,0.9740527508134263,0.18634286757227014,0.23007586790227988,9.833720453446002
2842,13,-3.014079734103236,False,0.7319892722173532,0.23658317293432377,0.5502070762590701,3.155561064791632
2843,174,2.8835347796954713,True,0.9845118707084959,0.0919853720457689,0.15067159815702927,6.742145220548662
2844,102,2.9479381501555864,True,0.9848297092981303,0.1477259868407114,0.18305883942016618,8.103353377941335
2845,201,2.794737075851918,True,0.9817419421227163,0.09995325487849215,0.13419968388198508,3.196776069313687
2846,120,2.9258018300907707,True,0.9710212183177925,0.13723170776648314,0.17630404225094937,5.3383069307605
2847,136,2.9302193107147243,True,0.9558159210702811,0.15617939813847362,0.17709109941827164,4.146742225511208
2848,79,2.968540269644003,True,0.9722661089345945,0.1307663741581462,0.6543006454425047,3.609631292800933
2849,119,2.9269447018468315,True,0.9772538346689621,0.11801936779938205,0.1546892521123949,2.6709642380074774
2850,52,2.991328023269283,True,0.92743814538232,0.17653660369662394,0.4106644781426319,2.5985170685203505
2851,114,2.937267595431994,True,0.9733837687982072,0.1871621300971048,0.3960630028550979,0.23549373782735694
2852,104,-3.1801233561298474,False,0.9512892488246429,0.20594470018201488,0.21796984104876616,9.062027525786004
2853,117,2.93335893075724,True,0.972802940059708,0.1511178464222462,0.16038824490581988,5.31030772489578
2854,63,2.981773382689561,True,0.9737525361511673,0.17042149772794218,0.25181389862978154,2.1823514187849313
2855,80,2.9715836372460305,True,0.963792330790923,0.21447166877854462,0.23254102296448664,9.343955414787137
2856,163,2.948092899372839,True,0.9643508561893082,0.20755230822075282,0.24808702099735047,3.657530012228707
2857,44,-3.022452481017362,False,0.9681176268925783,0.16185938226910318,0.25102529195756,5.803200188494621
2858,120,2.9247128789230605,True,0.9775052955162589,0.11009741199459468,0.6604907860732403,8.040899252096342
2859,116,-3.100922432193594,False,0.9755486406292325,0.12146287132588572,0.12340225966103593,9.772207192150296
2860,48,2.9936782821910635,True,0.8962462137156034,0.205632117188664,0.43090913815735993,3.4306634199701067
2861,156,2.9050945160952333,True,0.9411510770087651,0.2078648618111209,0.6985426050525724,4.583630827176065
2862,193,2.837450390773159,True,0.9826834294044204,0.16739011951715346,0.35053157136220703,0.9526673339617708
