,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,cohesion
7283,197,2.8993915576999534,True,0.9827658441008202,0.1403610205040872,0.19890615091642389,1.4020899153972533
7284,58,2.9815393596576767,True,0.9694721010877809,0.15004147330072073,0.2427775923112612,7.291776490466855
7285,57,2.9828348872980546,True,0.9459935699663945,0.21147428176676286,0.21210877039757148,0.9190855457112479
7286,32,-3.0383070333608067,False,0.9325071691451533,0.23761775221107534,0.7158816797973937,2.8449810714569947
7287,112,2.9376725642368027,True,0.9873121619511426,0.10696580336504015,0.14527806909510618,3.3445909960367235
7288,18,2.998779925174247,True,0.8406670057539544,0.1821325397289173,0.47090948749261624,1.1111778442550846
7289,76,2.9706092136554276,True,0.980830296878918,0.061446990137060405,0.07491847981505569,6.776885675243002
7290,1000,-0.14489472549557805,False,0.9742119814399197,0.2247143942367448,0.4825812009680011,9.92941495161784
7291,27,2.9968331915488386,True,0.930331894116098,0.16944400499406653,0.18869895211360763,3.564699133808978
7292,75,2.9746649791777906,True,0.9771289284367517,0.18038892153901315,0.19183056484752478,4.7016890152308
7293,135,2.9199658804743414,True,0.9803612214300889,0.0911533593433156,0.5723775629203757,6.003420428386274
7294,124,2.9758312740129997,True,0.9654781318550241,0.14484000683769765,0.3340695420666318,6.035022732838344
7295,105,2.940924639352774,True,0.985786143687334,0.07854512590248129,0.08858721400048321,5.1978286768186965
7296,10,-3.00715602323403,False,0.8401351996673861,0.2240848110900146,0.3635538336194788,5.99505483145313
7297,38,2.991883049337553,True,0.9467499023708057,0.05052286233534279,0.25476603918570206,4.495313174999017
7298,126,2.9262483048924457,True,0.9889972044342475,0.07453569049429248,0.08299968761478899,3.113298767034336
7299,176,2.840199966681888,True,0.9898576340152112,0.059646160978932945,0.05632936244550715,6.041259441386192
7300,1,-3.000825478278571,False,0.3,0.3,4.1291534559297585,1.0971351301403698
7301,149,2.892495603812675,True,0.977182814254434,0.13655368717791794,0.17423397217917808,3.436986349214759
7302,121,2.9402319798612884,True,0.9757141182198351,0.15508354474143063,0.16001626833159505,3.630893077136622
7303,96,2.954964173122338,True,0.9772528029985622,0.14573634283077805,0.3903228287886517,9.786841265962309
7304,5,-3.009177022207841,False,0.6685146624798868,0.3,1.8193577428732823,4.88698957001329
7305,1,-3.0008518190326696,False,0.30000000000000004,0.30000000000000004,5.056875150782136,7.892453425051241
7306,1,-3.0016542644285584,False,0.3,0.3,5.183449444549528,2.2615526128957875
7307,85,2.961416227973013,True,0.984159716147437,0.08974773204934865,0.10288057989869584,7.326957356749345
7308,165,2.8610493841737847,True,0.9857240566341893,0.1264146991828496,0.12910192759668188,3.7891827863010716
7309,82,2.962792346010031,True,0.9801645287081936,0.08220480668735089,0.14027976028554015,3.6279102015553666
7310,66,2.9811685004949258,True,0.9600658325209894,0.17069564179465335,0.19042368481996447,8.908964267405201
7311,78,2.9689449033849176,True,0.976363515256034,0.15891605730183622,0.45288509704826335,6.8468763889250015
7312,231,2.872619919537813,True,0.9864846000080522,0.09645830176642431,0.1741226666757852,4.984385634494332
7313,108,2.954979891114618,True,0.9612154221398945,0.10601513688455305,0.16108728451059276,6.996346232198658
7314,130,2.90849639869908,True,0.9906209559078923,0.014252519200346108,0.009691042992629184,5.639163270175115
7315,146,2.894936442901336,True,0.9875672518654289,0.09645742829489926,0.12614770095742175,4.772540957744179
7316,36,2.9930807861752986,True,0.9460663393141178,0.2178746164955108,0.21774148668460025,3.118394480428978
7317,130,2.9125479570550312,True,0.9883395233964618,0.07806141897370239,0.07635096639701135,4.714913980890589
7318,102,2.943790957889762,True,0.9875225214899404,0.03515098201298285,0.03882121833925325,6.163586194730511
7319,46,2.9902724745139246,True,0.9115732016042574,0.19959354862346573,0.5570125013208576,3.0567064954885934
7320,204,2.8205278258019604,True,0.9606175082505467,0.21647200214659995,0.22136649364926642,0.1629542166412845
7321,164,2.863564513208608,True,0.9861916894696174,0.07164947373342806,0.11275327402913754,6.937208137250131
7322,35,2.9932750533103634,True,0.9483981947575201,0.18831787869739613,0.20144748255985595,8.421447351917736
7323,9,2.999584470735924,True,0.7935334705650371,0.30000000000000004,0.7777181170449293,3.0931212220759208
7324,71,2.9745502307883838,True,0.9620214905960498,0.1084419981791643,0.4585467158131013,9.258370407150979
7325,114,2.931228075019134,True,0.9855130866895213,0.08398369549809122,0.12666828902230276,5.251403972293524
7326,40,-3.020090822936579,False,0.9261559936243764,0.21826008000427838,0.29589844294543227,9.22177856704019
7327,14,2.998742026452296,True,0.8864941347475787,0.18598035992873527,1.0235303843157324,9.760066655687273
7328,42,2.9900930646141037,True,0.9625717204024602,0.16239280371047493,0.19174309779424997,3.7893839375033025
7329,53,2.9848381452002943,True,0.9434436479815391,0.12941507081101045,0.2189177710243903,6.703561843901414
7330,107,2.945662392526542,True,0.9778972251053782,0.05227391039196444,0.09920053441312156,7.201147113575173
7331,152,2.8764618041699666,True,0.9822410664766174,0.103601009101403,0.11642895742510329,1.804149976114986
7332,1000,-0.14107765277898043,False,0.9700708003245595,0.2257596715243945,0.35588870280242396,6.632448282093797
7333,83,2.9646467487504435,True,0.9772774485957787,0.10112606060111683,0.10897048158023949,9.574709510170173
7334,17,-3.0253924256473534,False,0.9079476285078233,0.25283112847236083,0.5608611523699425,0.07306993449204269
7335,220,2.7505629622904375,True,0.9873418044446156,0.07392270104795275,0.07764231985708885,5.625495311806196
7336,1,-3.001139534651851,False,0.3,0.3,0.4778464847041186,4.270975242317201
7337,150,2.8934805657278484,True,0.9751175250477303,0.13071200006663813,0.16178183261439893,2.2782212314945682
7338,135,2.9032744786336466,True,0.9880120973989703,0.10268779185573876,0.10156021624881273,8.498079520978573
7339,1,-3.0010713656928134,False,0.0,0.0,6.054720531723223,7.132911260111982
7340,21,2.9974528406089145,True,0.9419055446218685,0.12585937771942646,0.3341876754028699,3.648734301276261
7341,95,2.951916948270238,True,0.9818316904731609,0.10789997690047277,0.15770366523205545,5.009392718455555
7342,33,2.994065802645679,True,0.9507550580125055,0.1784310540239738,0.16473471452816144,5.056347283330029
7343,92,2.954085114681201,True,0.9828529346056796,0.03503301568501259,0.08586147897645104,7.786094268299687
7344,172,2.8413760777362884,True,0.9855260091702367,0.052242851002802106,0.062218272151041434,7.297318696500083
7345,126,-3.0117815089258793,False,0.93985840105779,0.22685397126613188,0.5030335544568457,2.2558353235642215
7346,160,2.8701314653144046,True,0.9850357270631956,0.13122659297701875,0.23629453890554636,2.2933710487769208
7347,191,2.810838968754671,True,0.9884740907869217,0.043514119882320776,0.07590756253403315,7.87175002010391
7348,92,2.984362400157084,True,0.9476423451627568,0.14595959698950187,0.25079974145905815,5.4012763447081795
7349,49,2.986950619000505,True,0.9369610973891312,0.21974165206337673,0.2511784547862295,2.6995825012159513
7350,1,-3.0003543775772243,False,0.3,0.3,5.788940423667764,3.8713034627569898
7351,12,-3.0041778211255643,False,0.8423882822546579,0.2739516040398236,0.70021124720639,4.331333813138177
7352,235,2.8357268972886827,True,0.9842634443360883,0.13485048788003393,0.41789106917650387,5.917108411648268
7353,98,2.955126224151473,True,0.9867236796185129,0.1091491300402288,0.11244695556477144,9.3831284186326
7354,126,2.972708552101191,True,0.9582871190313117,0.18810970864841767,0.2812364237278626,0.9016417922077158
7355,115,2.932681148199343,True,0.9751485852369702,0.07483262883897975,0.22707237715307504,8.573510741433765
7356,134,2.9036347444542425,True,0.9892261916832146,0.0571213661455801,0.0617680292513935,7.103670976548405
7357,117,2.936985968285998,True,0.9839745714328262,0.15146920906599254,0.4488439911908804,0.48049361701183124
7358,116,2.9320137956803634,True,0.9802382773025973,0.130056291857348,0.27123716237758616,0.44065237830055226
7359,1,-3.001277296275558,False,0.29999999999999993,0.29999999999999993,4.594282384153745,5.5244792679129615
7360,1,-3.00040221391053,False,0.19093719124794006,0.19093719124794006,5.692454773567439,3.268028379460773
7361,149,2.886020194241684,True,0.9857261436025101,0.12149704343462518,0.4715870955428399,0.31897034405151903
7362,57,2.990371372918938,True,0.9496134146554543,0.19425608077322318,0.30063890463297893,6.381913553414831
7363,70,2.974901832362708,True,0.9797160365327597,0.12056541735651152,0.18855601452752882,2.6873873705417948
7364,130,2.9100293554446095,True,0.9889253454941737,0.07316421353397524,0.10607811719998808,5.919668355680018
